round,lr,val_loss,val_dice_WT,val_dice_TC,val_dice_ET,val_mean_dice,local_loss_TCGA-GBM,crop_source_counts_TCGA-GBM,local_loss_TCGA-LGG,crop_source_counts_TCGA-LGG,local_loss_UCSF-PDGM,crop_source_counts_UCSF-PDGM,local_loss_UPENN-GBM,crop_source_counts_UPENN-GBM
55,5.7662154605660256e-05,0.3040926835366658,0.8966700900168646,0.8647228375031513,0.8355110277604957,0.8656346517601704,0.3899003350072437,"{""foreground"": 19, ""tumor_jitter"": 27, ""random"": 9, ""et_jitter"": 17}",0.8551818650701771,"{""foreground"": 11, ""tumor_jitter"": 24, ""random"": 6, ""tumor_jitter_no_et"": 2, ""et_jitter"": 3}",0.307357343664365,"{""foreground"": 52, ""tumor_jitter"": 121, ""random"": 27, ""et_jitter"": 66, ""tumor_jitter_no_et"": 2}",0.2707671962220576,"{""foreground"": 80, ""tumor_jitter"": 188, ""et_jitter"": 60, ""random"": 30}"
56,5.636676352099929e-05,0.312011681497097,0.9001018116871516,0.8610217471705628,0.8385990917136766,0.8665742168571303,0.37090997853212887,"{""et_jitter"": 16, ""tumor_jitter"": 38, ""foreground"": 15, ""random"": 3}",0.8057815354803334,"{""tumor_jitter"": 25, ""foreground"": 10, ""et_jitter"": 4, ""random"": 6, ""tumor_jitter_no_et"": 1}",0.31981066530987395,"{""foreground"": 63, ""et_jitter"": 59, ""tumor_jitter"": 117, ""random"": 27, ""tumor_jitter_no_et"": 2}",0.2779862822850323,"{""foreground"": 82, ""tumor_jitter"": 176, ""random"": 28, ""et_jitter"": 72}"
57,5.5067283793433455e-05,0.2909337519180207,0.9045786030235745,0.878145677651265,0.8414160882525963,0.8747134563091453,0.40765529084536767,"{""tumor_jitter"": 34, ""foreground"": 19, ""random"": 7, ""et_jitter"": 12}",0.8824199645415597,"{""tumor_jitter_no_et"": 2, ""random"": 5, ""tumor_jitter"": 24, ""foreground"": 13, ""et_jitter"": 2}",0.307254477612563,"{""tumor_jitter"": 138, ""foreground"": 62, ""et_jitter"": 44, ""random"": 23, ""tumor_jitter_no_et"": 1}",0.2849582548997256,"{""tumor_jitter"": 187, ""et_jitter"": 62, ""foreground"": 82, ""random"": 27}"
58,5.376462105151742e-05,0.29937230327299663,0.8885177999734879,0.8671221143341556,0.8381632252304582,0.8646010465127006,0.3701419031454457,"{""tumor_jitter"": 34, ""random"": 4, ""et_jitter"": 19, ""foreground"": 15}",0.7931247820024905,"{""tumor_jitter"": 21, ""foreground"": 6, ""et_jitter"": 8, ""random"": 5, ""tumor_jitter_no_et"": 6}",0.292123149691233,"{""tumor_jitter"": 118, ""foreground"": 63, ""et_jitter"": 64, ""random"": 23}",0.2767785937426476,"{""tumor_jitter"": 188, ""et_jitter"": 64, ""random"": 27, ""foreground"": 79}"
59,5.245968314210034e-05,0.29951723704025857,0.902251482577551,0.8703500628514337,0.8375422834873569,0.8700479429721139,0.4001193154189322,"{""tumor_jitter"": 36, ""foreground"": 15, ""et_jitter"": 15, ""random"": 6}",0.8067703506220942,"{""tumor_jitter"": 27, ""random"": 1, ""foreground"": 8, ""tumor_jitter_no_et"": 2, ""et_jitter"": 8}",0.3038884430790125,"{""random"": 29, ""foreground"": 50, ""et_jitter"": 45, ""tumor_jitter"": 143, ""tumor_jitter_no_et"": 1}",0.27603360105243474,"{""foreground"": 69, ""tumor_jitter"": 187, ""et_jitter"": 67, ""random"": 35}"
60,5.115337949763257e-05,0.30328477205974713,0.8714702265603201,0.8672884138040466,0.8358220802688687,0.8581935735444118,0.381473771813843,"{""random"": 11, ""foreground"": 14, ""tumor_jitter"": 33, ""et_jitter"": 14}",0.7940234515977942,"{""tumor_jitter"": 16, ""tumor_jitter_no_et"": 3, ""foreground"": 14, ""random"": 6, ""et_jitter"": 7}",0.2997092178174809,"{""et_jitter"": 56, ""tumor_jitter"": 122, ""foreground"": 57, ""random"": 30, ""tumor_jitter_no_et"": 3}",0.27381439827507437,"{""tumor_jitter"": 181, ""foreground"": 69, ""et_jitter"": 72, ""random"": 35, ""tumor_jitter_no_et"": 1}"
61,4.9846620502367434e-05,0.301211911156064,0.9072546885127113,0.8684696842530384,0.8402424800117857,0.8719889509258452,0.40871256879634327,"{""foreground"": 23, ""et_jitter"": 10, ""tumor_jitter"": 28, ""random"": 11}",0.8207189077916353,"{""foreground"": 9, ""tumor_jitter"": 26, ""random"": 4, ""et_jitter"": 5, ""tumor_jitter_no_et"": 2}",0.30762590212163643,"{""foreground"": 65, ""tumor_jitter"": 128, ""et_jitter"": 49, ""random"": 25, ""tumor_jitter_no_et"": 1}",0.26769068991172246,"{""tumor_jitter"": 181, ""foreground"": 67, ""et_jitter"": 73, ""random"": 36, ""tumor_jitter_no_et"": 1}"
62,4.854031685789967e-05,0.29396016182644025,0.8897075513998668,0.8589237348082298,0.8122097155803925,0.8536136672628297,0.36496681885586846,"{""tumor_jitter"": 39, ""random"": 5, ""foreground"": 15, ""et_jitter"": 13}",0.8357866432355798,"{""tumor_jitter"": 26, ""foreground"": 7, ""random"": 7, ""et_jitter"": 4, ""tumor_jitter_no_et"": 2}",0.3100826559004499,"{""tumor_jitter"": 136, ""foreground"": 56, ""random"": 32, ""et_jitter"": 43, ""tumor_jitter_no_et"": 1}",0.2753111075963721,"{""tumor_jitter"": 172, ""foreground"": 80, ""et_jitter"": 73, ""random"": 33}"
63,4.7235378948482576e-05,0.29631831663705055,0.9046224139985584,0.8684936153759999,0.8511939508171993,0.8747699933972525,0.3434402325914966,"{""tumor_jitter"": 42, ""et_jitter"": 17, ""foreground"": 11, ""random"": 2}",0.7726431203925092,"{""et_jitter"": 7, ""tumor_jitter"": 27, ""foreground"": 8, ""random"": 2, ""tumor_jitter_no_et"": 2}",0.2886094576053655,"{""et_jitter"": 65, ""tumor_jitter"": 127, ""foreground"": 54, ""random"": 21, ""tumor_jitter_no_et"": 1}",0.2673133038525475,"{""foreground"": 68, ""tumor_jitter"": 187, ""random"": 34, ""et_jitter"": 69}"
64,4.5932716206566554e-05,0.28662212281709626,0.9088554031792141,0.8695177765607479,0.8307512289843316,0.8697081362414312,0.3951649454732736,"{""et_jitter"": 17, ""foreground"": 14, ""tumor_jitter"": 33, ""random"": 8}",0.7535514287326647,"{""tumor_jitter"": 19, ""foreground"": 14, ""random"": 5, ""et_jitter"": 7, ""tumor_jitter_no_et"": 1}",0.29874550684619305,"{""tumor_jitter"": 145, ""et_jitter"": 51, ""random"": 25, ""foreground"": 47}",0.2862698340882136,"{""tumor_jitter"": 177, ""et_jitter"": 70, ""foreground"": 83, ""random"": 28}"
65,4.463323647900072e-05,0.28933479296309605,0.8958570376748131,0.8657073729577297,0.8363525955032146,0.8659723353785859,0.3817160444127189,"{""tumor_jitter"": 33, ""foreground"": 15, ""random"": 6, ""et_jitter"": 18}",0.7179612595102062,"{""tumor_jitter"": 20, ""et_jitter"": 9, ""tumor_jitter_no_et"": 3, ""foreground"": 10, ""random"": 4}",0.29877972391559116,"{""tumor_jitter"": 126, ""foreground"": 66, ""et_jitter"": 45, ""random"": 30, ""tumor_jitter_no_et"": 1}",0.2710732383102012,"{""et_jitter"": 76, ""tumor_jitter"": 166, ""foreground"": 77, ""random"": 39}"
66,4.333784539433976e-05,0.3013735405391171,0.9129502532028017,0.871355760311698,0.8435394177187561,0.875948477077752,0.36522384981314343,"{""tumor_jitter"": 47, ""et_jitter"": 15, ""random"": 5, ""foreground"": 5}",0.8444146436193715,"{""foreground"": 13, ""tumor_jitter"": 19, ""random"": 5, ""tumor_jitter_no_et"": 5, ""et_jitter"": 4}",0.28567542730649903,"{""tumor_jitter"": 143, ""et_jitter"": 50, ""foreground"": 52, ""random"": 21, ""tumor_jitter_no_et"": 2}",0.26999790695958964,"{""tumor_jitter"": 169, ""foreground"": 70, ""random"": 32, ""et_jitter"": 87}"
67,4.204744573169659e-05,0.28509731463023597,0.8982834349075953,0.8787745853357125,0.8437553652495142,0.8736044618309405,0.3488127415378888,"{""foreground"": 13, ""et_jitter"": 15, ""tumor_jitter"": 39, ""random"": 5}",0.8576282081396683,"{""foreground"": 3, ""tumor_jitter"": 29, ""et_jitter"": 5, ""tumor_jitter_no_et"": 5, ""random"": 4}",0.2903513125519254,"{""et_jitter"": 52, ""foreground"": 46, ""tumor_jitter"": 146, ""random"": 24}",0.2691309700548316,"{""et_jitter"": 79, ""tumor_jitter"": 194, ""random"": 24, ""foreground"": 61}"
68,4.0762936791581015e-05,0.28461435919716244,0.9034003061907632,0.8745208676868407,0.8395580116705446,0.8724930618493829,0.3413059475521247,"{""tumor_jitter"": 46, ""foreground"": 9, ""et_jitter"": 12, ""random"": 5}",0.7435623018637948,"{""tumor_jitter"": 26, ""random"": 5, ""foreground"": 9, ""et_jitter"": 4, ""tumor_jitter_no_et"": 2}",0.2726928084643919,"{""tumor_jitter"": 148, ""foreground"": 59, ""et_jitter"": 46, ""random"": 14, ""tumor_jitter_no_et"": 1}",0.28024664920801556,"{""random"": 34, ""tumor_jitter"": 186, ""et_jitter"": 71, ""foreground"": 67}"
69,3.948521376916244e-05,0.2863459343711535,0.9009861134347461,0.8756717619491696,0.8399382477087776,0.8721987076975645,0.34876858815550804,"{""tumor_jitter"": 42, ""foreground"": 16, ""et_jitter"": 7, ""random"": 7}",0.8188101960265118,"{""tumor_jitter"": 26, ""random"": 3, ""et_jitter"": 6, ""tumor_jitter_no_et"": 4, ""foreground"": 7}",0.3091944091355623,"{""tumor_jitter"": 126, ""et_jitter"": 56, ""foreground"": 51, ""random"": 33, ""tumor_jitter_no_et"": 2}",0.269839893631096,"{""tumor_jitter"": 170, ""foreground"": 84, ""random"": 31, ""et_jitter"": 73}"
70,3.821516713039392e-05,0.2838501888726439,0.9037113469271433,0.876476939461474,0.8417351878852931,0.8739744914246367,0.39315522296561134,"{""foreground"": 19, ""tumor_jitter"": 34, ""et_jitter"": 13, ""random"": 6}",0.7509099957735642,"{""tumor_jitter"": 23, ""random"": 2, ""foreground"": 16, ""tumor_jitter_no_et"": 2, ""et_jitter"": 3}",0.3005431499054183,"{""foreground"": 66, ""random"": 24, ""tumor_jitter"": 126, ""et_jitter"": 51, ""tumor_jitter_no_et"": 1}",0.2642367194567979,"{""et_jitter"": 83, ""random"": 45, ""foreground"": 65, ""tumor_jitter"": 165}"
71,3.69536819914319e-05,0.28357596390304113,0.9040874580542246,0.8775313497312442,0.8428680314902922,0.8748289464252537,0.3681677323248651,"{""random"": 7, ""tumor_jitter"": 31, ""et_jitter"": 15, ""foreground"": 19}",0.7531681903030562,"{""foreground"": 5, ""tumor_jitter"": 24, ""et_jitter"": 7, ""random"": 8, ""tumor_jitter_no_et"": 2}",0.2826545803404566,"{""tumor_jitter"": 123, ""random"": 28, ""foreground"": 57, ""et_jitter"": 59, ""tumor_jitter_no_et"": 1}",0.2777189184084285,"{""tumor_jitter"": 174, ""foreground"": 74, ""et_jitter"": 69, ""random"": 41}"
72,3.570163750178437e-05,0.28412355333566663,0.9093602332330886,0.8718359538481482,0.8326013956800271,0.8712658609204214,0.3702724563578765,"{""random"": 8, ""foreground"": 16, ""tumor_jitter"": 27, ""et_jitter"": 21}",0.7485046464463939,"{""foreground"": 10, ""tumor_jitter_no_et"": 2, ""tumor_jitter"": 25, ""random"": 3, ""et_jitter"": 6}",0.28546532154528065,"{""tumor_jitter"": 133, ""foreground"": 53, ""et_jitter"": 55, ""random"": 27}",0.2629605210360202,"{""tumor_jitter"": 183, ""foreground"": 68, ""et_jitter"": 74, ""random"": 33}"
