epoch,lr,train_loss,val_loss,val_dice_WT,val_dice_TC,val_dice_ET,val_mean_dice,crop_source_counts
1,9.998303758629009e-05,1.3048847115808917,1.110706773826054,0.7436360464919181,0.6933538755623713,0.6458747891226109,0.6942882370589668,"{""tumor_jitter"": 367, ""et_jitter"": 166, ""foreground"": 136, ""random"": 69, ""tumor_jitter_no_et"": 6}"
2,9.993216197035142e-05,1.0546280834623563,0.9547067029135567,0.8316837471865473,0.7507941628850642,0.7005786883341542,0.7610188661352552,"{""tumor_jitter"": 364, ""foreground"": 163, ""et_jitter"": 122, ""random"": 89, ""tumor_jitter_no_et"": 6}"
3,9.984740801978987e-05,0.9253341243151696,0.8285996527898879,0.8404304050973483,0.7755255899968602,0.7074300520965919,0.7744620157302667,"{""tumor_jitter"": 383, ""foreground"": 150, ""et_jitter"": 145, ""random"": 60, ""tumor_jitter_no_et"": 6}"
4,9.972883382072955e-05,0.8218163929639324,0.7544084565980094,0.8067754197688329,0.7786673948168754,0.7247992213169355,0.7700806786342146,"{""tumor_jitter"": 366, ""et_jitter"": 154, ""foreground"": 148, ""random"": 73, ""tumor_jitter_no_et"": 3}"
5,9.957652063800364e-05,0.7447551692365318,0.6829463317280724,0.8072659455594562,0.7262731727744852,0.6732737775543804,0.7356042986294407,"{""tumor_jitter"": 359, ""et_jitter"": 155, ""foreground"": 151, ""random"": 76, ""tumor_jitter_no_et"": 3}"
6,9.939057285945934e-05,0.6849236891314547,0.6561654266856966,0.7700792389256613,0.7240486277710824,0.6891527141852133,0.727760193627319,"{""tumor_jitter"": 385, ""et_jitter"": 148, ""foreground"": 142, ""random"": 64, ""tumor_jitter_no_et"": 5}"
7,9.917111792441577e-05,0.6363358544886754,0.5649412123929887,0.8024294498420897,0.8122843736693972,0.7574726679935977,0.790728830501695,"{""tumor_jitter"": 377, ""foreground"": 156, ""et_jitter"": 133, ""random"": 74, ""tumor_jitter_no_et"": 4}"
8,9.891830623632339e-05,0.5736913410245731,0.5171311978782926,0.8462386962913332,0.79261562323996,0.730750298180993,0.7898682059040955,"{""tumor_jitter"": 381, ""et_jitter"": 148, ""foreground"": 129, ""random"": 82, ""tumor_jitter_no_et"": 4}"
9,9.8632311059685e-05,0.5302174056089053,0.47173213462034863,0.8842191511676425,0.8474446977887835,0.7976222058854554,0.8430953516139604,"{""tumor_jitter"": 384, ""et_jitter"": 150, ""foreground"": 136, ""random"": 70, ""tumor_jitter_no_et"": 4}"
10,9.831332840130888e-05,0.5152928366536095,0.4382140135481244,0.8449201745646341,0.8203547275492123,0.765332810607602,0.8102025709071494,"{""tumor_jitter"": 357, ""foreground"": 157, ""et_jitter"": 142, ""random"": 80, ""tumor_jitter_no_et"": 8}"
11,9.796157687597556e-05,0.46789953364960607,0.44926273028055824,0.8004779421147846,0.7998430733768536,0.7680246622284952,0.7894485592400445,"{""tumor_jitter"": 368, ""foreground"": 163, ""et_jitter"": 139, ""random"": 69, ""tumor_jitter_no_et"": 5}"
12,9.757729755661011e-05,0.4509256686013873,0.397532727320989,0.8281146671090808,0.8584489948692776,0.8081922052194123,0.8315852890659235,"{""tumor_jitter"": 387, ""et_jitter"": 144, ""foreground"": 127, ""random"": 79, ""tumor_jitter_no_et"": 7}"
13,9.716075380906284e-05,0.4359791265620339,0.36598131968861536,0.8854918188992,0.8571442694536278,0.8225608557864259,0.8550656480464179,"{""tumor_jitter"": 365, ""et_jitter"": 154, ""foreground"": 143, ""random"": 78, ""tumor_jitter_no_et"": 4}"
14,9.671223111161149e-05,0.4263011282009463,0.3789686001482464,0.8879770006452288,0.8630661445714178,0.8139738197880515,0.8550056550015661,"{""tumor_jitter"": 354, ""et_jitter"": 167, ""foreground"": 140, ""random"": 80, ""tumor_jitter_no_et"": 3}"
15,9.62320368593087e-05,0.417248531555136,0.36486389182862783,0.8969443247431801,0.8632571432562102,0.8153244105868285,0.8585086261954062,"{""tumor_jitter"": 356, ""et_jitter"": 171, ""foreground"": 135, ""random"": 75, ""tumor_jitter_no_et"": 7}"
16,9.572050015330875e-05,0.4071541505475198,0.3410692780500367,0.8830501892736979,0.8562005171463603,0.8036230442775557,0.8476245835658713,"{""tumor_jitter"": 368, ""et_jitter"": 149, ""foreground"": 143, ""random"": 81, ""tumor_jitter_no_et"": 3}"
17,9.517797157531812e-05,0.38957415016428115,0.33414405548856374,0.8877758993988946,0.8498150909763007,0.8148193209901273,0.8508034371217742,"{""tumor_jitter"": 385, ""foreground"": 146, ""et_jitter"": 136, ""random"": 72, ""tumor_jitter_no_et"": 5}"
18,9.460482294732422e-05,0.38992926001708994,0.33791204527730034,0.8812564175753367,0.8742842788497607,0.8251593065753533,0.8602333343334836,"{""tumor_jitter"": 355, ""foreground"": 161, ""et_jitter"": 134, ""random"": 86, ""tumor_jitter_no_et"": 8}"
